Ciudad,Nombre,Dirección,Latitud,Longitud
Guayaquil,TuTi | Las Peñas,"R48F+PF7, Numa Pompilio Llona 204, Guayaquil",-2.1830584,-79.8764022
Guayaquil,Tuti José Mascote,"José Mascote 4705, Guayaquil",-2.2169592,-79.90137709999999
Guayaquil,TuTi | Suscal,"Q3C5+R5P, Guayaquil",-2.2279054,-79.9420446
Guayaquil,TuTi | Pradera,"Q475+99C, Av. Domingo Comín, Guayaquil",-2.2366012,-79.891576
Guayaquil,TuTi | El Dorado,Av León Febres Cordero Ribadeneyra,-2.0555891,-79.8749804
Guayaquil,TUTI QUISQUIS,"Unnamed Road, Guayaquil",-2.1582544,-79.9200838
Guayaquil,TuTi | Samborondón,"31 de Octubre, Samborondón",-1.9627995,-79.72555659999999
Guayaquil,TuTi | Durán - Recreo 3 ( 5ta Etapa),"25, El Recreo 6",-2.168933,-79.7996354
Guayaquil,TuTi | 24 y Garcia Goyena,"24 entre García Goyena, y, Guayaquil",-2.2031483,-79.9222331
Guayaquil,TuTi | Coviem,"Sl 11, Guayaquil",-2.1891341,-79.8899031
Guayaquil,TUTI IV MILAGRO,"Av. 17 de Septiembre &, Milagro",-2.1377163,-79.5967288
Guayaquil,TuTi | Puerto Azul,"R26Q+QF5, *Av. Principal Y Calle Tercera, Guayaquil",-2.1881137,-79.9612459
Guayaquil,Tuti Portete y Lorenzo,Guayaquil,-2.2092243,-79.88986349999999
Guayaquil,TuTi | Lomas de Sargentillo,"Av. El Telégrafo, Lomas de Sargentillo",-1.8786063,-80.0850947
Guayaquil,TuTi | Garzota Hermano Miguel,"R4X5+CF9, Av. Hermano Miguel, Guayaquil",-2.1514751,-79.8912536
Guayaquil,TuTi | Calle A,"Q3JR+C8P, Guayaquil",-2.2188971,-79.9091655
Guayaquil,TuTi | Puerto Inca,FF62+3FG,-2.5398145,-79.5488108
Guayaquil,TuTi | Durán 3 - Colinas del Valle,"Cdla. Primavera 2, Durán",-2.174236,-79.8468697
Cuenca,TuTi González Suárez Cuenca,"Av. González Suárez 14-44 y, Cuenca",-2.8983856,-78.9827131
Cuenca,Tutttifrutti,"Av. Abelardo J. Andrade, Cuenca",-2.8730544,-79.0348243
Cuenca,D' Todo Minimarket,"Cam. a Patamarca 3-31, Cuenca",-2.8714838,-78.9815986
Cuenca,Tu Tienda,"Coronel Guillermo Tálbot 11-41 y, Cuenca",-2.892813,-79.0103764
Cuenca,Tu Tienda,"Mariano Cueva 13-95, Cuenca",-2.8928174,-79.0002126
Loja,Panadería y Pastelería Tuttideli,"Imbabura 152-36 entre Avenida Universitaria y, 18 de Noviembre, Loja",-3.994383699999999,-79.2047165
Manta,TuTi AV. 4 DE NOVIEMBRE,"Av. 4 de Noviembre &, Manta",-0.9694301,-80.7043145
Manta,TuTi AV.BOLIVARIANA,"Av. Bolivariana, Portoviejo",-1.0572164,-80.4722877
Manta,TuTi Av. Universitaria,"XG3V+4Q4, Portoviejo",-1.0472549,-80.4555845
Manta,TUTI Arenales,"4FR8+VR8, Arenales de Crucita Crucita, Portoviejo",-0.8578331,-80.532935
Manta,TUTI MANTA LAS CUMBRES,"27HG+W9F, C. 291, Manta",-0.9701636,-80.7242327
Manta,TuTi Bahía,"9HXG+4GP, Av. 3 de Noviembre, Bahía de Caráquez",-0.602166,-80.4236719
Manta,TuTi AV. DEL EJÉRCITO,"WGRP+2Q7, Av. del Ejército, Portoviejo",-1.0599685,-80.4630668
Manta,Tuti San Jorge,"WGJ8+4VP, E30, Portoviejo",-1.0696742,-80.48279649999999
Manta,TuTi Rocafuerte,"3GFX+WHW, C. Pichincha, Rocafuerte",-0.9251091,-80.4510627
Manta,TuTi,"X84Q+MMG, Av. Metropolitana, Montecristi",-1.0428543,-80.6605579
Manta,TuTi EL PALMAR,"Rocafuerte en las inmediaciones del Aeropuerto, Vía Manta - Jaramijo, Manta",-0.9611888999999999,-80.6880903
Manta,TuTi CANTÓN Santa Ana,"C. Horacio Hidrovo Velasquez 0209, Santa Ana",-1.2083901,-80.37102790000002
Manta,TuTi PICOAZÁ,"XG86+4VM, Av. 5 De Junio, Portoviejo",-1.0346576,-80.4878282
Manta,TuTi Terminal,"WGQR+CMX, Pedro Gual, Portoviejo",-1.061391,-80.4582557
Manta,TuTi Jaramijó,"29X6+R48, C. 23 de Octubre, Jaramijó",-0.9504579,-80.63964190000002
Manta,TuTi LOS BAJOS,"W89C+37C, Portoviejo",-1.0823073,-80.679356
Manta,TuTi Primero de Mayo,"XG5J+QR4, Atanacio Santos, Portoviejo",-1.0406199,-80.46793679999999
Manta,TuTi MANTA TARQUI,"27WM+HM2, Avenida 108, Manta",-0.9536048,-80.7158493
Manta,TuTi ROCAFUERTE LA Y,"3HJ4+M26, Rocafuerte, Manta",-0.9183495,-80.44499429999999
Manta,TuTi LOS ESTEROS,"C. 119 119, Manta",-0.9494747000000001,-80.70271629999999
Manta,TuTi Av. Manabí,"Callejon Robles 130103, Portoviejo",-1.0515815,-80.46129599999999
Manta,TuTi,"Av Flavio Reyes 1714, Manta",-0.9451991,-80.7301653
Manta,TuTi El Redondel,"JCV5+CPC, Jipijapa",-1.3565001,-80.5907909
Manta,TuTi Montecristi Leonidas Proaño,2834+F8X,-0.9962299999999998,-80.6941578
Manta,TuTi BADARACCO,"27Q4+M8V, Manta",-0.9608359999999999,-80.7442109
