Ciudad,Nombre,Dirección,Latitud,Longitud,address,horario,parqueo,cajero
Ambato,tuti  vasija_riobamba,"89P6+V33, Juan de Velasco, Riobamba",-1.6628625,-78.6398281,,,,
Ambato,tuti  veloz,"88MV+VG3, Brasil, Riobamba",-1.6654538,-78.6561656,,,,
Guayaquil,tuti  vergeles,"W36W+498, Guayaquil",-2.089411,-79.9040189,,,,
Quevedo,tuti  via a valencia,"XHP3+R7M, Quevedo",-1.0129125,-79.44682809999999,,,,
Quevedo,tuti  via guayaquil,"W9W5+2H6, Velasco Ibarra",-1.0549719,-79.6410994,,,,
Quevedo,tuti  via manabi,"X955+7W5, Velasco Ibarra",-1.0418711,-79.6401319,,,,
Santa Elena,tuti  via punta carnero,"Vía Punta Carnero, Salinas",-2.230350800000001,-80.9217437,,,,
Guayaquil,tuti  victor emilio,"Victor Emilio Estrada 1219, Guayaquil",-2.1615433,-79.9166805,,,,
Quito,tuti  villaflora,"QF4J+99P, Av Rodrigo de Chávez, Quito",-0.2440403,-78.5190405,,,,
Ambato,tuti  villarroel,"88GW+QPV, Gaspar de Villarroel, Riobamba",-1.6730248,-78.6532059,,,,
Machala,tuti - bolivar,"P2WG+6F4, Machala",-3.2544793,-79.97384009999999,,,,
Machala,tuti - via al puerto,"P2W9+VWG, Machala",-3.2528013,-79.980171,,,,
Guayaquil,tuti - villa espana,"W39M+X75, Guayaquil",-2.0800419,-79.9167851,,,,
,tuti 1 de mayo,,,,CALLE LIZARDO RUIZ Y TOMAS DE SEVILLA,08:00 - 21:00,No,No
,tuti 10 de agosto,,,,Avenida 10 de agosto #2014. entre Tulcan y Los Rios,08:00 - 21:00,No,No
,tuti 10 de noviembre,,,,CALLE PICHINCHA Y ESPEJO,08:00 - 21:00,No,No
,tuti 12 de noviembre,,,,Av. 12 de Noviembre y calle Tomas Sevilla.,08:00 - 21:00,No,No
,tuti 19 y sedalana,,,,19 Y SEDALANA,08:00 - 21:00,No,No
Manta,tuti 24 de mayo,"PHCJ+7MF, Portoviejo",-1.2793437,-80.4184142,,,,
,tuti 24 de mayo - manabi,,,,"CALLE BOLIVAR Y CALLE COMERCIO, BARRIO CENTRAL.",08:00 - 21:00,No,No
,tuti 24 y garcia goyena,,,,24 y Garcia Goyena Mz. 42 Sl. 26,08:00 - 21:00,No,No
,tuti 25 y la j,,,,CALLE J #1019 ENTRE LA CALLE 25 Y LA CALLE 26,08:00 - 21:00,No,No
,tuti 27 y la c,,,,"27 Y LA C, BARRIO LA BENDICIN DE DIOS",08:00 - 21:00,No,No
,tuti 28 de junio,,,,"Garci­a Moreno y Pedro Manuel Alobuela, junto a la panaderia croissant",08:00 - 21:00,No,No
Quevedo,tuti 28 de mayo,"HG4P+6HJ, Ventanas",-1.444399,-79.46361279999999,,,,
,tuti 38 y bolivia,,,,Calle 38 entre Bolivia y Vacas Galindo. Mz. 423 Sl. 7,08:00 - 21:00,No,No
,tuti 4 de noviembre,,,,4 de noviembre 2117 y Tungurahua,08:00 - 21:00,No,No
,tuti 5 esquinas,,,,JUAN DE ALCAZAR Y FRANCISCO COBO,08:00 - 21:00,Sí,No
,tuti 6 de diciembre,,,,AV 6 DE DICIEMBRE Y TELEGRAFO,08:00 - 21:00,Sí,No
,tuti 6 esquinas,,,,Av. Colon Tinoco y Av. Manuel Estomba,08:00 - 21:00,No,No
